"site","coverage","incidence"
"Mexico",NA,"0.000297737683626956"
"Mexico",NA,"0.000472969737058489"
"Mexico",NA,"0.000201105242528806"
"Mexico",NA,"0.000170135819215403"
"Mexico",NA,"0.000210448338591711"
"Mexico",NA,"0.000246383323449035"
"Mexico",NA,"0.000257229155242336"
"Mexico",NA,"0.00076476181409996"
"Mexico",NA,"0.000921830366094519"
"Mexico",NA,"0.000782598633856414"
"Mexico",NA,"0.000647025736440146"
"Mexico",NA,"0.000132306080611057"
"Mexico",NA,"0.000138970386893688"
"Mexico",NA,"0.000160400705135874"
"Mexico",NA,"0.000237366909066651"
"Mexico",NA,"9.30389426124172e-05"
"Mexico",NA,"0.000355952359095821"
"Mexico",NA,"0.00086649048941424"
"Mexico",NA,"0.000809713213339667"
"Mexico",NA,"0.000397506268858108"
"Mexico","50.5","0.000762867060352938"
"Mexico","56.5","0.000482900860146331"
"Mexico","65","0.000104146119750136"
"Mexico","72","7.85342759972791e-05"
"Mexico","77","9.89845491979017e-05"
"Mexico","76.5","8.23891198274284e-05"
"Mexico","78.5","5.56665583608002e-05"
"Mexico",NA,"3.40402311103015e-05"
"Mexico",NA,"2.57425164250649e-05"
"Mexico",NA,"2.07116185450395e-05"
"Mexico",NA,"1.5942066009431e-05"
"Mexico",NA,"7.64435132419439e-06"
"Mexico",NA,"6.86031529094368e-06"
"Mexico",NA,"4.90022520781692e-06"
"Mexico",NA,"2.35210809975212e-06"
"Mexico",NA,"8.1670420130282e-06"
"Mexico",NA,"5.22690688833805e-06"
"Mexico",NA,"2.74412611637747e-06"
"Mexico",NA,"2.02542641923099e-06"
"Mexico",NA,"7.84036033250707e-07"
"Mexico",NA,"1.11071771377183e-06"
"Mexico",NA,"7.84036033250707e-07"
"GBA",NA,"0.000574853751589657"
"GBA",NA,"0.000478660025706941"
"GBA","21.35","0.000284307692307692"
"GBA","28.65","0.000205579514824798"
"GBA","33.9","0.000268686390532544"
"GBA","33.9","0.000178839717367051"
"GBA","27","0.000681003814495081"
"GBA","29.95","0.000555746234596075"
"GBA","34.05","0.000839885377942999"
"GBA","25.35","0.00273697977620368"
"GBA","43.2","0.00101814373716632"
"GBA","64.9","0.000460879488440728"
"GBA","66.3","0.000399015492635274"
"GBA","82.35","0.000158335048010974"
"GBA","91.65","0.000100649432534678"
"GBA","90.1","2.29487323943662e-05"
"GBA","79.8","1.27089226022114e-05"
"GBA","65.8","8.47010800238115e-07"
"GBA","82.75","0"
"GBA","68.4","1.69534588289641e-06"
"LC",NA,"0.000903669309173273"
"LC",NA,"0.00015"
"LC","15.45","0.000420530973451327"
"LC","3.15","0.00153456730769231"
"LC","16.4","0.000568224299065421"
"LC","4.35","8.58952496954933e-05"
"LC","9.8","0.00102641304347826"
"LC","11.75","0.0190489655172414"
"LC","35.95","0.000308932038834952"
"LC","36.1","9.18013856812933e-05"
"LC","11.2","2.6843924488168e-05"
"SP",NA,NA
"SP",NA,NA
"SP",NA,"0.00171445558739255"
"SP",NA,"0.000997616651418115"
"SP","24.5","0.00104584337349398"
"SP","33.3","0.000900428571428571"
"SP","40.7","0.0008379704595186"
"SP","53.55","0.000436573005519318"
"SP","56.8","0.000281733746130031"
"SP","60.95","0.000265005662514156"
"SP","67.85","0.000383215238095238"
"SP","70.45","0.000264354549894189"
"SP","73.3","0.000178222222222222"
"SP","78.95","0.000101299257567105"
"SP","81.35","8.66475345682233e-05"
"SP","84.95","1.77527226137092e-05"
"SP","87","4.32078559738134e-06"
"SP","86.2","1.02855698761688e-06"
"SP","83.6","0"
"SP","78.15","9.66021636446747e-07"
